"Title","URL","Resource type","Citation","Year","Number"
"The Implications of Extreme Weather Events for Attaining the Sustainable Development Goals in Sub-Saharan Africa","https://www.frontiersin.org/articles/10.3389/fclim.2020.592658/full","Journal article","Codjoe et al.","2020","1"
"Cattle ranching intensification in Brazil can reduce global greenhouse gas emissions by sparing land from deforestation.","https://www.pnas.org/doi/10.1073/pnas.1307163111#:~:text=We%20find%20that%20cattle%20ranching,to%20limit%20deforestation%20(4).","Journal article","Cohn et al.","2013","1"
"Crop Weather and Climate Vulnerability Profiles","crop_weather_and_climate_vulnerability_profiles_.pdf (concern.net)","Article","Concern Worldwide","2017","1"
"Climate change, food security, and livelihoods in sub-Saharan Africa","https://link.springer.com/article/10.1007/s10113-015-0761-x","Article","Connolly-Boutin et al.","2016","1"
"Africa in the New Trade Environment : Market Access in Troubled Times","https://openknowledge.worldbank.org/handle/10986/36884","Journal article","Coulibaly et al.","2022","1"
"Africa in the New Trade Environment : Market Access in Troubled Times. Washington, DC: World Bank","https://openknowledge.worldbank.org/handle/10986/36884 License: CC BY 3.0 IGO.”","World Bank Report","Coulibaly et al.","2022","2"
"Wines of Baja Mexico: Aqualitative study examining viticulture, enology, and marketing practices","https://www.sciencedirect.com/science/article/pii/S2212977415000307
","Journal article","Covarrubias and Thach","2015","1"
"Trajectories of rice-farming households in mainland Southeast Asia","https://hdl.handle.net/10568/73054","Book chapter","Cramb et al.","2015","1"
"Conflict as a Cause of Migration","https://mpra.ub.uni-muenchen.de/112327/1/MPRA_paper_112327.pdf","Report","Crippa et al.","2022","1"
"Policy brief :Policy coherence for sustainable development in sub-Saharan Africa","https://www.lse.ac.uk/granthaminstitute/wp-content/uploads/2018/07/Policy-coherence-for-sustainable-development-in-sub-saharan-Africa_Curran-et-al.pdf","Journal article","Curran et al.","2018","1"
"Production guideline: Sugarcane","https://www.dalrrd.gov.za/Portals/0/Brochures%20and%20Production%20guidelines/sugar%20cane%20prodocution%20%20guideline.pdf","Report","DAFF","2014","1"
"Direct and indirect impacts of climate change on wheat yield in the Indo-Gangetic plain in India","https://www.sciencedirect.com/science/article/pii/S266615432100034X","Journal article","Daloz et al.","2021","1"
"Agricultural extension and its effects on farm productivity and income: insight from Northern Ghana","https://agricultureandfoodsecurity.biomedcentral.com/articles/10.1186/s40066-018-0225-x","Journal article","Danso-Abbeam et al.","2018","1"
"Beyond borders: Making transport work for African trade","https://www.theigc.org/reader/beyond-borders-making-transport-work-for-african-trade/poor-roads-increase-cost-transporting-goods-long-distances-factors-may-significant/","Report","Dave et al.","2017","1"
"The Impact of Climate Change on Indigenous Arabica Coffee (Coffea arabica): Predicting Future Trends and Identifying Priorities","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0047981","Journal article","Davis et al.","2012","1"
"Flood Risk Mapping in the Amazon","https://www.intechopen.com/chapters/55628","Book","de Andrade et al.","2017","1"
"Perception of climate change and its impact by smallholders in pastoral/agropastoral systems of Borana, South Ethiopia","https://springerplus.springeropen.com/articles/10.1186/s40064-015-1012-9","Journal article","Debela et al.","2015","1"
"Rice-based cropping systems for enhancing productivity of food grains in India: decadal experience of AICRP.","https://icar.org.in/sites/default/files/Rice%20based%20cropping%20systems.pdf","Journal article","Deep et al.","2018","1"
"Reducing Postharvest Losses during Storage of Grain Crops to Strengthen Food Security in Developing Countries","10.3390/foods6010008","journal","Deepak and Prasanta","2017","1"
"Reducing Postharvest Losses during Storage of Grain Crops to Strengthen Food Security in Developing Countries","https://doi.org/10.3390%2Ffoods6010008","Article","Deepak and Prasanta","2017","2"
"Adaptation Potential of Current Wheat Cultivars and Planting Dates under the Changing Climate in Ethiopia","https://www.mdpi.com/2073-4395/12/1/37/htm","Article","Demelash","2021","1"
"Rice","https://farmer.gov.in/cropstaticsrice.aspx","Webpage","Department of Agriculture and Cooperation and Farmers Welfare","2021","1"
"Wheat","https://farmer.gov.in/m_cropstaticswheat.aspx","Webpage","Department of Agriculture and Cooperation and Farmers Welfare","2021","2"
"About Cocoa","https://www.daf.qld.gov.au/business-priorities/agriculture/plants/fruit-vegetable/fruit-vegetable-crops/cocoa","Website","Department of Agriculture and Fisheries QLD","2015","1"
"Barley","https://www.nda.agric.za/docs/Brochures/barley.pdf","Report","Department of Agriculture, Forestry and Fisheries","2009","1"
"Soya beans - Production guideline.","https://www.nda.agric.za/docs/Brochures/Soya-beans.pdf","Report","Department of Agriculture, Forestry and Fisheries","2010","1"
"Improving water productivity in mixed crop–livestock farming systems of sub-Saharan Africa","https://www.sciencedirect.com/science/article/abs/pii/S0378377409003424","Journal article","Descheemaeker et al.","2010","1"
"Rainfed areas and animal agriculture in Asia: the wanting agenda for transforming productivity growth and rural poverty. Asian-Australasian journal of animal sciences","https://doi.org/10.5713/ajas.2011.r.09","Journal","Devendra","2012","1"
"Rainfed Areas and Animal Agriculture in Asia: The Wanting Agenda for Transforming Productivity Growth and Rural Poverty","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092921/","Asian Journal","Devendra","2012","2"
"Explaining yield and gross margin gaps for sustainable intensification of the wheat-based systems in a Mediterranean climate.","https://www.sciencedirect.com/science/article/abs/pii/S0308521X20308076","Journal article","Devkota and Yigezu","2020","1"
"Chapter Five - Conservation Agriculture in the drylands of the Middle East and North Africa (MENA) region: Past trend, current opportunities, challenges and future outlook.","https://www.researchgate.net/publication/357793884_Conservation_Agriculture_in_the_Drylands_of_the_Middle_East_and_North_Africa_MENA_Region_Past_Trend_Current_Opportunities_Challenges_and_Future_Outlook","Journal article","Devkota et al.","2022","1"
"Chapter Five - Conservation Agriculture in the drylands of the Middle East and North Africa (MENA) region: Past trend, current opportunities, challenges and future outlook.","https://doi.org/10.1016/bs.agron.2021.11.001","Journal article","Devkota et al.","2022","2"
"Emerging Issues and Potential Opportunities in the Rice–Wheat Cropping System of North-Western India","https://www.frontiersin.org/articles/10.3389/fpls.2022.832683/full","Journal article","Dhanda et al.","2022","1"
"Water and agriculture in India. In Background paper for the South Asia expert panel during the Global Forum for Food and Agriculture","https://www.oav.de/fileadmin/user_upload/5_Publikationen/5_Studien/170118_Study_Water_Agriculture_India.pdf","Report","Dhawan","2017","1"
"Food security and livestock: The case of Latin America and the Caribbean","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-16202016000100001",,"DI Rodríguez et al.","2016","1"
"Farmers’ Adaptation Strategies to Climate Change in Southeast Asia: A Systematic Literature Review","https://www.mdpi.com/2071-1050/14/6/3639","Journal article","Diana et al.","2022","1"
"Effect of temperature – humidity index on the onset of post- partum ovarian activity and reproductive behavior in Bos indicus cows","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7212737/","Journal article","Diaz et al.","2020","1"
"Potential risks of climate variability on rice cultivation regions in the Mekong Delta, Vietnam","https://doi.org/10.1590/1807-1929/agriambi.v26n5p348-355","Journal article","Dinh and Dang","2022","1"
"Climate Change and Chronic Food Insecurity in Sub-Saharan Africa","https://www.imf.org/en/Publications/Departmental-Papers-Policy-Papers/Issues/2022/09/13/Climate-Change-and-Chronic-Food-Insecurity-in-Sub-Saharan-Africa-522211","IMF Report","Diogo et al.","2022","1"
"Climate Change and Chronic Food Insecurity in Sub-Saharan Africa","https://www.elibrary.imf.org/view/journals/087/2022/016/article-A001-en.xml","Journal","Diogo et al.","2022","2"
"Soil and Water Conservation in Africa: State of Play and Potential Role in Tackling Soil Degradation and Building Soil Health in Agricultural Lands","https://www.mdpi.com/2071-1050/14/20/13425/pdf","Journal article","Diop et al.","2022","1"
"Farming Systems and Poverty","https://www.fao.org/3/Y1860E/y1860e10.htm","Report","Dixon et al.","2001","1"
"Farming systems and poverty: Improving farmers' livelihoods in a changing world","https://www.fao.org/3/ac349e/ac349e00.htm ","Book","Dixon et al.","2001","2"
"Farming Systems and Poverty; Improving Farmers' livelihood In A Changing World.","https://www.fao.org/3/Y1860E/y1860e09.htm#P634_78808","Book","Dixon et al.","2001","3"
"Farming systems and poverty: Improving farmers' livelihoods in a changing world","https://www.fao.org/3/ac349e/ac349e00.htm","Book","Dixon et al.","2001","4"
"Farming Systems and Poverty; Improving Farmers' Livelihoods In A Changing World.","https://www.fao.org/3/Y1860E/y1860e00.htm","Book","Dixon et al.","2001","5"
"Farming Systems and Poverty: Improving Farmers’ Livelihoods in a Changing World. FAO and World Bank.","https://www.fao.org/3/Y1860E/y1860e00","FAO Report","Dixon et al.","2001","6"
"Farming Systems and Poverty: IMPROVING FARMERS' LIVELIHOODS IN A CHANGING WORLD","https://www.fao.org/3/Y1860E/y1860e00.htm","FAO Report","Dixon et al.","2001","7"
"Farming systems and poverty: Improving farmers' livelihoods in a changing world","https://hdl.handle.net/10568/109061","Book","Dixon et al.","2001","3"
"Farming systems and poverty: Improving farmers' livelihoods in a changing world","https://hdl.handle.net/10568/109061","Book chapter","Dixon et al.","2001","5"
"Farming Systems and Food Security in Africa","https://cgspace.cgiar.org/handle/10568/109061","Book (Chapter 8)","Dixon et al.","2020","1"
"Farming systems and poverty: Improving farmers' livelihoods in a changing world","https://hdl.handle.net/10568/109061","Book chapter","Dixon et al.","2020","2"
"Farming systems and poverty: Improving farmers' livelihoods in a changing world",,"Book chapter","Dixon et al.","2020","4"
"Changes in extreme temperature and precipitation in the Arab region: long-term trends and variability related to ENSO and NAO.","https://rmets.onlinelibrary.wiley.com/doi/10.1002/joc.3707","Research article","Donat et al.","2014","1"
"Vulnerability of smallholder farmers to climate change in Central America and Mexico: current knowledge and research gaps","https://www.tandfonline.com/doi/full/10.1080/17565529.2018.1442796","Journal article","Donatti et al.","2018","1"
"Management of Water Resources in Agriculture in Chile and its Challenges","https://www.researchgate.net/publication/357814386_Management_of_Water_Resources_in_Agriculture_in_Chile_and_its_Challenges
","Journal article","Donoso","2021","1"
"The Local Drivers of Land Degradation in South‐East Asia","https://www.researchgate.net/publication/229794564_The_Local_Drivers_of_Land_Degradation_in_South-East_Asia","Journal","Douglas","2006","1"
"Climate Vulnerability Assessment for Adaptation in India Using A Common Framework","https://dst.gov.in/sites/default/files/Full%20Report%20%281%29.pdf","Report","DST","2020","1"
"Maize production","https://www.arc.agric.za/arc-gci/Fact%20Sheets%20Library/Maize%20Production.pdf","Report","du Plessis","2003","1"
"Investing in resilience: addressing climate-induced displacement in the MENA region.","https://repo.mel.cgiar.org/handle/20.500.11766/8760","Report","Durrell","2018","1"
"Coastal vulnerability assessment of the future sea level rise in Udupi coastal zone of Karnataka state, west coast of India. Ocean and Coastal Management","https://www.deepdyve.com/lp/elsevier/coastal-vulnerability-assessment-of-the-future-sea-level-rise-in-udupi-xARCjJtI2c
","Report","Dwarakish et al.","2009","1"
"Using Desalination to Improve Agricultural Yields: Success Cases in Mexico","https://www.intechopen.com/chapters/61066","Journal article","Dévora-Isiordia et al.","2018","1"
"Winter in the andes","https://earthobservatory.nasa.gov/images/92588/winter-in-the-andes","Website","Earth Observatory","2018","1"
"Factors contributing to maize and bean yield gaps in Central America vary with site and agroecological conditions","https://www.researchgate.net/publication/335664390_Factors_contributing_to_maize_and_bean_yield_gaps_in_Central_America_vary_with_site_and_agroecological_conditions","Journal article","Eash et al.","2019","1"
"Moving toward climate-resilient transport: the World Bank’s experience from building adaptation into programs.","https://policycommons.net/artifacts/1290121/moving-toward-climate-resilient-transport/1891943/","Book","Ebingfer and Vandycke","2015","1"
"Review of current and planned adaptation action in Ethiopia
","http://hdl.handle.net/10625/55864","Report","Echeverria and Terton","2016","1"
"Implications of gender roles in natural resource governance in Latin America and the Caribbean.","https://www.cepal.org/en/insights/implications-gender-roles-natural-resource-governance-latin-america-and-caribbean","ECLAC Report","ECLAC","2021","1"
